Time,Marcador 1/0/X,Marcador 1/0/Y,Marcador 2/0/X,Marcador 2/0/Y,Marcador 3/0/X,Marcador 3/0/Y,Marcador 4/0/X,Marcador 4/0/Y
"2,902","0,08011572","0,2060999","0,04248516","-0,03326961","0,2519483","-0,1751282","-0,05836744","-0,518692"
"2,935","0,0778823","0,2053554","0,03694381","-0,02994481","0,2563813","-0,1596124","-0,0561509","-0,5009597"
"2,969","0,0778823","0,2053554","0,033619","-0,02662","0,2597061","-0,1440966","-0,05282609","-0,4821191"
"3,002","0,07564889","0,2057361","0,02918592","-0,02329519","0,2641392","-0,1274726","-0,04950128","-0,4632785"
"3,035","0,07751852","0,2064637","0,02696938","-0,01997039","0,2663389","-0,1138433","-0,04617646","-0,4444379"
"3,069","0,07751852","0,2064637","0,02364457","-0,01664558","0,2674472","-0,09832755","-0,04395992","-0,4267056"
"3,102","0,0752851","0,2072081","0,02142803","-0,01442903","0,269283","-0,08170348","-0,04063511","-0,407865"
"3,136","0,0752851","0,2083333","0,01699494","-0,01110423","0,2696468","-0,06656832","-0,03952684","-0,3901327"
"3,169","0,0741768","0,2064637","0,01256186","-0,008887678","0,2688855","-0,05179703","-0,03841857","-0,3724003"
"3,202","0,07194338","0,2064637","0,008128782","-0,006671131","0,2670158","-0,03702572","-0,0373103","-0,354668"
"3,236","0,07157959","0,207572","0,0036957","-0,004454583","0,264038","-0,02189064","-0,03620203","-0,3391522"
"3,269","0,06860173","0,2064637","0,001479159","-0,003346324","0,2621683","-0,009716511","-0,03509376","-0,3236365"
"3,302","0,0682379","0,2068275","0,0003708891","-0,001129776","0,2599349","0,002821326","-0,03509376","-0,3103372"
"3,336","0,06898239","0,2057192","0,0003708891","-0,001129776","0,2584459","0,01390405","-0,03509376","-0,297038"
"3,369","0,06823794","0,2072082","-0,0007373813","-2,15E-05","0,2577015","0,02349785","-0,03509376","-0,2859553"
"3,402","0,06936305","0,2057192","0,001479159","0,001086771","0,2577015","0,03421676","-0,03509376","-0,2759808"
"3,436","0,06861857","0,2072082","0,001479159","0,003303289","0,2577015","0,04197466","-0,03509376","-0,2682229"
"3,469","0,0675103","0,2064637","-0,0007373813","0,001086771","0,2543598","0,04417428","-0,03509376","-0,2626816"
"3,502","0,06676584","0,2064637","-0,002953922","0,00219503","0,2513819","0,0478798","-0,03509376","-0,260465"
"3,536","0,06602136","0,2060999","-0,002953922","0,00219503","0,2517626","0,04528256","-0,03509376","-0,2615733"
"3,569","0,0660214","0,2060999","-0,004062193","0,00219503","0,2525071","0,04344672","-0,03620203","-0,2671146"
"3,603","0,06527688","0,2049917","-0,004062193","0,001086771","0,2532685","0,03754157","-0,0373103","-0,2748725"
"3,636","0,06714651","0,204611","-0,005170463","0,001086771","0,2529046","0,02720329","-0,03841857","-0,2859553"
"3,669","0,06714651","0,2035027","-0,005170463","-2,15E-05","0,252177","0,01835404","-0,04063511","-0,2981462"
"3,703","0,06603824","0,2038833","-0,006278733","-0,001129776","0,2518132","0,005799264","-0,04174338","-0,3114455"
"3,736","0,06529376","0,2012862","-0,006278733","-0,004454583","0,2518302","-0,007119268","-0,04395992","-0,3269613"
"3,769","0,06492997","0,2012862","-0,006278733","-0,005562872","0,251847","-0,02114615","-0,04617646","-0,3413688"
"3,803","0,06456618","0,2012862","-0,004062193","-0,00777939","0,2500111","-0,03555366","-0,04839301","-0,3568845"
